Image,Title,Price,Ratings,Review,Monthly Sales
https://m.media-amazon.com/images/I/61grsE2rE4L._AC_UL320_.jpg,"Lenovo WL310 Bluetooth Silent Mouse, Bluetooth 5.0, Upto 3million Button clicks, 1600 DPI, 6 Buttons (Left Click, Right Click, Scroll Click, DPI, 2 x Side Buttons), DPI LED Indicator, Grey",899,4.3 out of 5 stars,595,500+ bought in past month
https://m.media-amazon.com/images/I/61rWd8AHZXL._AC_UL320_.jpg,Navneet Youva | Primed Canvas Board for Acrylic and Oil Colour Painting | 12x16 inch | for Students and Budding Artists,123,4.4 out of 5 stars,809,600+ bought in past month
https://m.media-amazon.com/images/I/51ljJxXlKVL._AC_UL320_.jpg,"SIXFU Replacement Tips for Apple Pencil Pro/USB-C/ 2nd Generation/Pencil 1st Generation Tip(4 Pack), White",569,4.5 out of 5 stars,"3,335",500+ bought in past month
https://m.media-amazon.com/images/I/71NEqqoSE2L._AC_UL320_.jpg,"ENVIE® (ECR11MC + 2800 4PL) SprintX Ultra Fast Rechargeable Batteries Charger for AA & AAA Ni-MH with 4xAA2800mah Rechargeable Batteries, with Over Charge Protection","1,099",3.8 out of 5 stars,"54,234",500+ bought in past month
https://m.media-amazon.com/images/I/61qAzVmYAQL._AC_UL320_.jpg,"realme Buds T200 Lite Bluetooth in Ear Earbuds,4 Mic, AI ENC for Calls,48 Hours Total Playback with Fast Charging and Ultra Low Latency Gaming TWS,Google Fast Pair,with mic (Storm Grey)","1,399",4.0 out of 5 stars,"27,162",800+ bought in past month
https://m.media-amazon.com/images/I/71YhFLOuXPL._AC_UL320_.jpg,Spigen Liquid Air Back Cover Case Compatible with iPhone 17 (TPU | Matte Black),"1,044",4.6 out of 5 stars,3,
https://m.media-amazon.com/images/I/61T4l1ofW0L._AC_UL320_.jpg,"GOVO GoSurround 220 16W Bluetooth Sound bar, 2000 mAh Battery, 2.0 Channel with 52mm Drivers, Multicolor LED Lights with TWS, AUX, Bluetooth and USB (Platinum Black)",699,3.7 out of 5 stars,"2,878",300+ bought in past month
https://m.media-amazon.com/images/I/61jzBZHmO3L._AC_UL320_.jpg,"JBL Quantum 100 Wired Over Ear Gaming Headphones with Mic, 40mm Realistic Dynamic Drivers, Detachable Boom Mic, 1kHz Sensitivity, Memory Foam Cushioning, PC/Mobile/PS/Xbox/Nintendo/VR Compatible-Black","1,999",3.9 out of 5 stars,"16,167",500+ bought in past month
https://m.media-amazon.com/images/I/71xS69DTCbL._AC_UL320_.jpg,"MSI MAG 255F E20 24.5-Inch FHD 1920x1080 Gaming Monitor, 200Hz, 0.5ms, HDR Ready, AMD FreeSync Premium, Eye Care, AI Vision, HDMI 2.0b, DP 1.2a, Frame-Less, Tilt Adjustable, Vesa Mount, Black","9,811.00",4.4 out of 5 stars,36,500+ bought in past month
https://m.media-amazon.com/images/I/71lDoPQHPdL._AC_UL320_.jpg,"DOODLE Initial A Premium Soft Bound Notebook Diary for Girls and Women (B6, 80 GSM, 192 Ruled Pages) Floral Design",293,4.3 out of 5 stars,"5,674",700+ bought in past month
https://m.media-amazon.com/images/I/716u4uIxWSL._AC_UL320_.jpg,"Ambrane 2-in-1 Wireless Carplay Receiver, Converts Wired Android Auto & CarPlay to Wireless, USB A & Type C, Note: Only for Already OEM Installed Android Auto/Carplay, Bluetooth V5.4 (Carlink, Black)","2,249",4.4 out of 5 stars,152,500+ bought in past month
https://m.media-amazon.com/images/I/51sxI5xpalL._AC_UL320_.jpg,"Boat 2025 Launch Bassheads 300C Wired Earphones,Type-C Jack, 10mm Drivers, Signature Sound, in-Line Microphone, Integrated Controls, Voice Assistant & 120cm Cable (Active Black)",499,4.0 out of 5 stars,1,
https://m.media-amazon.com/images/I/71XIkqkx+KL._AC_UL320_.jpg,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight","84,990",4.7 out of 5 stars,335,300+ bought in past month
https://m.media-amazon.com/images/I/512UEmq5n3L._AC_UL320_.jpg,Xtore® Universal Mobile Phone Holder & Tablet Holder with 360° Rotation,599,4.0 out of 5 stars,"24,337",800+ bought in past month
https://m.media-amazon.com/images/I/81kki1tAKEL._AC_UL320_.jpg,"Taparia SA46 Steel Socket Set (Blue, 46-Pieces), Hex, ‎24 x 21 x 5 cm","1,862",4.4 out of 5 stars,"5,091",500+ bought in past month
https://m.media-amazon.com/images/I/51VF5d5Jp6L._AC_UL320_.jpg,FACTOR NOTES A5 Notebook: Ruled | 90 GSM | 160 Pages (Trust the process),189,4.5 out of 5 stars,"1,785",800+ bought in past month
https://m.media-amazon.com/images/I/71g0SmTbQRL._AC_UL320_.jpg,"Microtek Legend 650 Line Interactive UPS 650VA/360W, Micro Processor Based UPS System, an Ideal Power Backup & Protection for Desktop PC & Home Office with 2 Years on Electronics and 1 year on Battery","2,399",3.7 out of 5 stars,612,600+ bought in past month
https://m.media-amazon.com/images/I/61l11jU-VqL._AC_UL320_.jpg,"Portronics Flash C2 240W Type C to Type C Cable With 40Gbps Data Transfer Speed, Thunderbolt 4, 8K@60Hz Display Cable, USB 4 Type C 90° Shaped Connector, Gold Coated, Type C Fast Charging",699,4.1 out of 5 stars,116,600+ bought in past month
https://m.media-amazon.com/images/I/61hn0Su6AyL._AC_UL320_.jpg,DOMS Neon Rubber Tipped HB/2 Graphite Pencils Box Pack | Non-Toxic | Free Sharpner Inside The Box | Easy & Smooth Sharpening | Pack Of 10 Pencils,58,4.4 out of 5 stars,"2,293",500+ bought in past month
